Player Id,This week,Last week,End 2020,Ctry,First Name, Last Name,avg_pts,Total pts,Events played (divisor),points lost,points gained,Events played (actual),Week, Weekend date,
17550,86,88,51,RSA,Erik,van,1.6055,83.48,52,-49.25,20.03,57,24,13th June 2021,
19866,87,86,101,ENG,Sam,Horsfield,1.5518,69.83,45,-23.59,26.35,45,24,13th June 2021,
12965,88,87,53,USA,Rickie,Fowler,1.5194,71.41,47,-52.61,31.17,47,24,13th June 2021,
11955,89,89,68,RSA,Dylan,Frittelli,1.5176,78.92,52,-35.45,14.42,58,24,13th June 2021,
15229,90,92,199,RSA,Brandon,Stone,1.5108,77.05,51,-17.58,48.06,51,24,13th June 2021,
14424,91,91,182,RSA,Dean,Burmester,1.5014,78.08,52,-18.45,46.16,57,24,13th June 2021,
14181,92,90,83,BEL,Thomas,Detry,1.4904,77.5,52,-31.16,23.78,53,24,13th June 2021,
10419,93,93,94,SWE,Alex,Noren,1.4741,76.65,52,-30.41,29.8,56,24,13th June 2021,
17064,94,94,70,AUS,Lucas,Herbert,1.4609,58.44,40,-27.02,10.82,36,24,13th June 2021,
12734,95,104,219,AUS,Jason,Scrivener,1.456,71.34,49,-20.31,49.91,49,24,13th June 2021,
12920,96,95,67,ENG,Danny,Willett,1.4435,75.06,52,-48.45,22.39,54,24,13th June 2021,
22051,97,98,125,USA,Aaron,Wise,1.4301,68.65,48,-19.99,28.99,48,24,13th June 2021,
21554,98,97,72,USA,J.T.,Poston,1.427,74.21,52,-42.35,22.75,60,24,13th June 2021,
9586,99,96,85,SCO,Martin,Laird,1.4257,67.01,47,-22.44,19.8,47,24,13th June 2021,
13965,100,99,78,CAN,Adam,Hadwin,1.423,69.73,49,-37.03,29.59,49,24,13th June 2021,
10884,101,103,92,RSA,George,Coetzee,1.4088,66.21,47,-29.34,16.51,47,24,13th June 2021,
14140,102,101,121,USA,Harry,Higgs,1.3993,72.76,52,-27.47,30.62,61,24,13th June 2021,
17357,103,106,203,ITA,Guido,Migliozzi,1.3926,64.06,46,-21.8,47.22,46,24,13th June 2021,
8117,104,100,79,GER,Martin,Kaymer,1.3901,61.16,44,-32.26,15.07,44,24,13th June 2021,
13944,105,102,84,BEL,Thomas,Pieters,1.3855,55.42,40,-30.6,17.84,39,24,13th June 2021,
18554,106,105,77,ENG,Aaron,Rai,1.361,63.97,47,-27.58,8.87,47,24,13th June 2021,
21891,107,109,133,USA,Kurt,Kitayama,1.355,60.97,45,-28.56,34.42,45,24,13th June 2021,
18634,108,107,166,USA,Maverick,McNealy,1.3479,70.09,52,-19,37.26,57,24,13th June 2021,
13470,109,108,236,USA,Patton,Kizzire,1.3476,70.07,52,-14.86,47.8,53,24,13th June 2021,
7398,110,110,206,RSA,Charl,Schwartzel,1.3296,53.19,40,-12.44,31.77,38,24,13th June 2021,
12946,111,118,106,USA,Michael,Thompson,1.317,64.53,49,-27.06,26.96,49,24,13th June 2021,
23542,112,111,71,USA,Cameron,Champ,1.3114,68.19,52,-34.87,10.62,52,24,13th June 2021,
7399,113,112,110,USA,Lucas,Glover,1.3103,68.14,52,-33.37,31.24,57,24,13th June 2021,
19364,114,114,150,USA,Richy,Werenski,1.3081,68.02,52,-21.13,31.53,56,24,13th June 2021,
6516,115,117,192,ENG,Richard,Bland,1.2978,64.89,50,-15.3,37.64,50,24,13th June 2021,
23838,116,116,87,DEN,Rasmus,Hojgaard,1.2896,67.06,52,-25.58,21.3,52,24,13th June 2021,
23816,117,113,69,FIN,Sami,Valimaki,1.278,56.23,44,-22.34,3.84,44,24,13th June 2021,
15016,118,119,109,AUT,Matthias,Schwab,1.2746,66.28,52,-30.28,25.85,52,24,13th June 2021,
16394,119,120,234,GER,Stephan,Jaeger,1.2736,62.41,49,-12.41,38.08,49,24,13th June 2021,
7677,120,122,108,RSA,Shaun,Norris,1.2702,63.51,50,-29.38,19.7,50,24,13th June 2021,
14120,121,115,162,FIN,Kalle,Samooja,1.2672,59.56,47,-18.76,28.86,47,24,13th June 2021,
17813,122,121,189,ENG,Marcus,Armitage,1.2631,64.42,51,-10.78,36.04,51,24,13th June 2021,
6986,123,124,97,USA,Zach,Johnson,1.2538,58.93,47,-20.76,16.19,47,24,13th June 2021,
24766,124,152,149,KOR,Joohyung,Kim(June2002),1.2357,49.43,40,-19.11,23.43,35,24,13th June 2021,
15575,125,123,106,USA,Tom,Hoge,1.2356,64.25,52,-25.35,18.09,66,24,13th June 2021,
24481,126,156,89,USA,Doc,Redman,1.2235,63.62,52,-25.51,22.48,57,24,13th June 2021,
14368,127,126,88,THA,Jazz,Janewattananond,1.1984,62.31,52,-44.49,19.21,57,24,13th June 2021,
15164,128,127,73,ENG,Tom,Lewis,1.195,62.14,52,-37.31,11.62,55,24,13th June 2021,
14852,129,129,115,USA,Robert,Streb,1.1918,61.97,52,-19.04,9.91,55,24,13th June 2021,
13485,130,125,76,JPN,Shugo,Imahira,1.1915,54.81,46,-39.32,8.03,46,24,13th June 2021,
14459,131,128,75,KOR,Byeong,Hun,1.1877,61.76,52,-42.04,13.27,58,24,13th June 2021,
13367,132,131,151,USA,Troy,Merritt,1.1839,61.56,52,-23.56,32.13,62,24,13th June 2021,
17786,133,130,229,AUS,Cameron,Davis,1.1803,61.38,52,-16.97,37.89,57,24,13th June 2021,
11657,134,137,165,SWE,Henrik,Norlander,1.1747,61.08,52,-22.77,34.13,63,24,13th June 2021,
14795,135,132,127,ENG,Laurie,Canter,1.1724,57.45,49,-16.26,19.25,49,24,13th June 2021,
7961,136,138,56,USA,Chez,Reavie,1.1603,60.34,52,-54.51,7.15,57,24,13th June 2021,
10886,137,136,159,RSA,Justin,Harding,1.1584,60.24,52,-31.24,35.99,59,24,13th June 2021,
13508,138,172,216,VEN,Jhonattan,Vegas,1.1513,57.57,50,-21.69,40.94,50,24,13th June 2021,
7457,139,133,102,ESP,Rafa,Cabrera,1.148,59.69,52,-41.56,25.83,60,24,13th June 2021,
8820,140,135,98,USA,Brandt,Snedeker,1.1457,58.43,51,-37.94,22.84,51,24,13th June 2021,
25889,141,143,161,RSA,Wilco,Nienaber,1.1262,49.55,44,-10.26,18.5,44,24,13th June 2021,
5321,142,134,41,USA,Tiger,Woods,1.1161,44.65,40,-64.32,-,19,24,13th June 2021,
15980,143,157,212,USA,David,Lipsky,1.1072,57.57,52,-21.48,36.94,56,24,13th June 2021,
23236,144,139,132,ESP,Adri,Arnaus,1.1017,56.19,51,-27.28,19.55,51,24,13th June 2021,
12232,145,142,93,JPN,Ryo,Ishikawa,1.0902,43.61,40,-24.64,6.78,40,24,13th June 2021,
6892,146,140,111,USA,Charles,Howell,1.0866,56.5,52,-35.04,20.35,53,24,13th June 2021,
23604,147,141,147,USA,Wyndham,Clark,1.0838,56.36,52,-24.55,22.26,57,24,13th June 2021,
12846,148,147,96,USA,Jim,Herman,1.081,52.97,49,-22.8,7.39,49,24,13th June 2021,
5994,149,145,65,SWE,Henrik,Stenson,1.0748,48.36,45,-41.63,7.8,45,24,13th June 2021,
14706,150,199,194,USA,Hudson,Swafford,1.0737,46.17,43,-13.24,23.33,43,24,13th June 2021,
19455,151,196,307,CHI,Guillermo,Mito,1.0681,53.4,50,-8.21,40.05,50,24,13th June 2021,
13126,152,144,136,CAN,Nick,Taylor,1.0632,55.29,52,-25.97,20.94,54,24,13th June 2021,
25131,153,146,201,SCO,Calum,Hill(Nov1994),1.0616,55.2,52,-18.12,33.6,52,24,13th June 2021,
